Time,Altitude AGL,Airspeed,Target Airspeed,Vertical Speed,Target VS,Phase,Nav Distance
508.117,1121.058626,150.7854218,147.54991,-15.86507976,0,land,10263.35069
508.625,1112.947526,150.4989808,147.5497151,-15.33705832,0,land,10221.07111
509.108,1105.713323,150.2410785,147.5494785,-14.93068398,0,land,10182.89453
509.633,1097.91594,149.9645029,147.5492245,-14.57728627,0,land,10140.11339
510.108,1091.003038,149.7242006,147.5489778,-14.32543374,0,land,10102.74984
510.633,1083.484611,149.4695206,147.5487102,-14.10838681,0,land,10060.7906
511.108,1076.784087,149.2497727,147.548483,-13.95517769,0,land,10023.55699
511.625,1069.584756,149.0221675,147.5482006,-13.8285277,0,land,9981.737036
512.108,1062.900974,148.8206681,147.5479154,-13.73966067,0,land,9943.958762
512.633,1055.681815,148.6134048,147.5476567,-13.66893569,0,land,9901.604038
513.125,1048.949044,148.4302693,147.5473782,-13.62085808,0,land,9862.613978
513.625,1042.008966,148.2525861,147.5470348,-13.58289315,0,land,9823.014576
514.125,1035.314905,148.0909106,147.5467596,-13.55738561,0,land,9783.463979
514.633,1028.405009,147.9343307,147.5464747,-13.53757064,0,land,9743.301159
515.142,1021.503135,147.7879755,147.5461593,-13.52247015,0,land,9703.182534
515.633,1014.834082,147.6561089,147.5458651,-13.50799274,0,land,9664.418606
516.117,1008.169577,147.5329027,147.5455345,-13.49531276,0,land,9626.346842
516.617,1001.626279,147.4197147,147.5452152,-13.48370713,0,land,9587.652131
517.125,994.6383632,147.3127873,147.5448806,-13.46580574,-14.78019125,land,9547.023172
517.617,987.9888046,147.224628,147.5445545,-13.50189639,-14.77274767,land,9509.042708
518.142,980.8510151,147.1389847,147.5441537,-13.59955134,-14.76453437,land,9467.162138
518.625,974.2237881,147.068572,147.5438959,-13.72699998,-14.75982579,land,9429.231014
519.117,967.4124756,147.0047599,147.5435634,-13.87903224,-14.75439009,land,9390.012051
519.617,960.4279997,146.947692,147.543155,-14.04402682,-14.74859013,land,9352.117206
520.133,953.1310927,146.8956919,147.5428011,-14.21397776,-14.74425592,land,9310.971547
520.625,945.9873191,146.8516904,147.5424799,-14.36892244,-14.74082569,land,9271.798288
521.117,939.0107539,146.8144013,147.5421224,-14.50358046,-14.73748035,land,9234.593612
521.633,931.7292712,146.7804324,147.5418036,-14.62282484,-14.73486336,land,9195.439504
522.125,924.2704327,146.7501168,147.5414658,-14.72038936,-14.73243359,land,9154.987999
522.625,916.8909405,146.7241205,147.5411203,-14.79190407,-14.73026229,land,9115.847462
523.133,909.2336255,146.7007027,147.5407552,-14.84057419,-14.72827011,land,9075.407257
523.633,901.92845,146.6813291,147.5404235,-14.86438254,-14.72669912,land,9036.927558
524.117,894.7398484,146.6648921,147.5400065,-14.86838603,-14.72501875,land,8999.754904
524.625,888.1721122,146.6517207,147.5396889,-14.85730812,-14.72392092,land,8964.540503
525.125,880.127496,146.6383977,147.5393396,-14.82765758,-14.72292927,land,8924.110674
525.667,872.1020505,146.6274303,147.5389033,-14.78416576,-14.72189631,land,8881.725614
526.125,865.4539028,146.6202197,147.538617,-14.74043153,-14.72136505,land,8846.513736
526.667,857.361931,146.6137113,147.5381701,-14.6811042,-14.72075283,land,8803.476829
527.142,850.4017663,146.6100944,147.5378193,-14.62739425,-14.72045137,land,8766.307992
527.625,843.3442385,146.6082953,147.5374608,-14.57274888,-14.72030141,land,8728.486082
528.158,835.5867907,146.6085002,147.5371071,-14.51478272,-14.72030735,land,8686.749936
528.642,828.5861805,146.6106447,147.5367459,-14.46609432,-14.72047493,land,8648.924662
529.167,821.0100518,146.615065,147.5363084,-14.41881885,-14.72086566,land,8607.8361
529.617,814.2945012,146.6207672,147.5360013,-14.38256153,-14.72128121,land,8571.310385
530.142,806.6372642,146.6290852,147.5356306,-14.34845054,-14.72189441,land,8527.606336
530.642,799.4737527,146.6389899,147.5352529,-14.32387269,-14.72268278,land,8488.464583
531.15,792.445068,146.650421,147.5348049,-14.30663459,-14.72381259,land,8449.971315
531.625,785.5418021,146.6633139,147.5344385,-14.29611401,-14.72488721,land,8412.778925
532.133,778.2847826,146.6783539,147.5340526,-14.29145187,-14.7261408,land,8372.971869
532.642,770.908581,146.6951872,147.5336918,-14.2927972,-14.72742622,land,8332.50694
533.142,763.7693875,146.7127443,147.5333371,-14.29921002,-14.72878745,land,8292.689133
533.625,756.9871756,146.7307203,147.5329823,-14.30926596,-14.73023032,land,8256.129995
534.133,749.6034993,146.7511975,147.5325261,-14.32380185,-14.73221232,land,8214.99489
534.617,742.6879991,146.7715405,147.5321586,-14.34007368,-14.7339079,land,8178.424756
535.125,735.4045506,146.793409,147.5317976,-14.35925561,-14.73561568,land,8137.276863
535.617,728.469545,146.8150471,147.5314557,-14.37883135,-14.73728246,land,8099.388448
536.142,720.810537,146.8395457,147.5310002,-14.4012919,-14.73957614,land,8057.573473
536.625,714.0995852,146.8614971,147.5306461,-14.42120552,-14.74140578,land,8021.632723
537.15,706.538472,146.8863519,147.5303049,-14.44343861,-14.74317886,land,7979.803704
537.633,699.3260944,146.9103508,147.5298694,-14.46409251,-14.74547774,land,7940.582074
538.117,692.3434749,146.9336817,147.5295793,-14.48332238,-14.74702714,land,7902.661454
538.625,684.8689343,146.9582426,147.5291194,-14.50256783,-14.74946952,land,7862.772678
539.133,677.3553015,146.9826871,147.5287355,-14.52067927,-14.75150697,land,7822.877037
539.617,670.0200659,147.0060322,147.5283896,-14.53703821,-14.75332924,land,7784.283015
540.133,662.3026434,147.0300599,147.528019,-14.55299753,-14.75523621,land,7742.41129
540.633,655.4490204,147.0536793,147.5276864,-14.56603562,-14.75710344,land,7709.039625
541.208,650.7100145,147.0683733,147.527411,-14.57431471,-14.75858617,land,7682.208311
541.625,639.9742004,147.0890918,147.5268712,-14.59236792,-14.76032067,land,7625.91895
542.117,632.6002791,147.10164,147.5265177,-14.6047403,-14.76131884,land,7587.293425
542.642,624.9690724,147.1136845,147.5261506,-14.61731271,-14.76228211,land,7547.350218
543.133,617.3305915,147.1248245,147.5257189,-14.62954364,-14.76333199,land,7506.742721
543.617,610.1865719,147.1350241,147.5253435,-14.640553,-14.76420426,land,7471.36656
544.133,602.26833,147.1452861,147.5250056,-14.65194153,-14.76493628,land,7430.083992
544.625,592.6482121,147.1547313,147.5245715,-14.6621161,-14.76584686,land,7391.411928
545.142,583.6356303,147.1643738,147.524239,-14.67203183,-14.76652094,land,7350.76196
545.65,575.8271836,147.1740023,147.5237908,-14.68079671,-14.76745309,land,7313.379429
546.125,568.2738389,147.1828378,147.5234447,-14.68845207,-14.76814459,land,7273.361802
546.642,560.1943262,147.1927053,147.5230215,-14.69572838,-14.76901199,land,7232.675423
547.117,552.7620827,147.2020267,147.5226878,-14.70160703,-14.76971317,land,7195.915228
547.625,544.9345839,147.2119444,147.5223284,-14.7069919,-14.77049044,land,7156.517362
548.142,536.7116741,147.222607,147.5218663,-14.71183043,-14.77150429,land,7115.136201
548.642,528.8768592,147.2330091,147.5215133,-14.71574855,-14.77229825,land,7075.712746
549.133,521.1695926,147.2433924,147.5211604,-14.71903393,-14.77310994,land,7036.276756
549.633,512.5823387,147.254293,147.5207243,-14.72185234,-14.77414532,land,6998.80097
550.167,502.1403646,147.2655743,147.5203845,-14.72438826,-14.77494572,land,6956.70948
550.642,492.0324249,147.2771328,147.5200064,-14.72649396,-14.7758783,land,6917.89389
551.125,482.4273917,147.2883963,147.5195775,-14.72824794,-14.77698783,land,6879.724618
551.633,471.977235,147.3010247,147.5192386,-14.72996084,-14.77788639,land,6838.910513
552.125,462.198916,147.313127,147.5188107,-14.7314687,-14.77904914,land,6801.376731
552.633,451.7437652,147.3260252,147.5184407,-14.73305662,-14.78006948,land,6759.879894
553.125,441.7921494,147.3384907,147.5180967,-14.73461985,-14.78101207,land,6721.0065
553.65,431.3319665,147.3516509,147.5176704,-14.73636134,-14.78219699,land,6680.145039
554.133,421.5443291,147.3639802,147.5173336,-14.73814867,-14.78312832,land,6641.909453
554.625,411.4166348,147.3767178,147.5168959,-14.74021556,-14.78434943,land,6602.345165
555.133,401.1175107,147.3896163,147.5165348,-14.74259454,-14.78536194,land,6562.111114
555.633,390.9844091,147.4023138,147.5161932,-14.74522222,-14.78630054,land,6523.186579
556.117,381.1863533,147.4143988,147.5157636,-14.7480469,-14.78749014,land,6484.912839
556.642,370.540479,147.4273781,147.5154294,-14.75140211,-14.78839348,land,6443.329925
557.117,361.0745883,147.4387659,147.5150704,-14.7546105,-14.78938494,land,6406.359135
557.633,350.4221407,147.4512987,147.5146428,-14.75843249,-14.79050723,land,6364.097704
558.458,340.4427829,147.4630093,147.5143101,-14.76218907,-14.79137125,land,6325.790214
558.642,333.5181254,147.4753513,147.5138718,-14.76602105,-14.79257053,land,6293.421282
559.133,325.4172754,147.4856148,147.5135213,-14.77022919,-14.7933717,land,6245.849759
559.633,317.2854533,147.496853,147.5131776,-14.77464795,-14.79420517,land,6206.198776
560.117,311.3345367,147.5070316,147.5128157,-14.77892217,-14.79505937,land,6167.862882
560.633,304.970318,147.5174087,147.5123921,-14.78350209,-14.79602852,land,6126.215139
561.142,298.8085434,147.5277094,147.5120562,-14.78783874,-14.79675541,land,6090.511502
561.633,292.6440146,147.5365402,147.5116214,-14.792042,-14.79767063,land,6046.867073
562.117,286.7851914,147.5453963,147.5112678,-14.79583828,-14.79840878,land,6011.1528
562.642,280.2041426,147.5543509,147.5109272,-14.79986587,-14.79904901,land,5966.83449
563.133,274.1347265,147.5624925,147.5105065,-14.80331757,-14.79983375,land,5927.802568
563.625,268.063051,147.5703719,147.510173,-14.80648588,-14.80042887,land,5889.427596
564.125,261.9892852,147.5777121,147.5098337,-14.80934328,-14.80100968,land,5849.724816
564.617,255.9134937,147.5848873,147.5094701,-14.81188118,-14.80160422,land,5811.341343
565.142,249.3207351,147.5920918,147.5090456,-14.81428333,-14.80227161,land,5768.320886
565.625,242.6976298,147.5983766,147.5087199,-14.81615177,-14.80274498,land,5729.92966
566.117,235.8984991,147.6045636,147.5083026,-14.81777161,-14.80334038,land,5691.535166
566.658,228.7520626,147.610543,147.5079777,-14.81919953,-14.80376707,land,5649.82739
567.142,221.8689462,147.6161756,147.5076104,-14.82036517,-14.80423321,land,5609.440576
567.617,215.6406665,147.6212534,147.5072619,-14.81761787,-14.80466542,land,5573.023857
568.133,208.6364756,147.6265679,147.5068223,-14.80741761,-14.80517443,land,5530.64545
568.642,201.8603357,147.6315676,147.5064748,-14.79247402,-14.80557222,land,5490.251206
569.125,195.4241873,147.6362318,147.5060973,-14.77747176,-14.80597992,land,5453.166208
569.633,188.6617117,147.6405232,147.5057507,-14.76362715,-14.80632143,land,5411.44385
570.133,182.0156109,147.6448375,147.5054228,-14.7523159,-14.80663171,land,5372.369104
570.617,175.5958356,147.6488992,147.5050104,-14.73959291,-14.80703575,land,5333.955502
571.133,168.7404249,147.6531614,147.5046894,-14.72193391,-14.8073384,land,5292.229296
571.642,162.1146483,147.6573611,147.5042723,-14.7027826,-14.80774104,land,5252.489196
572.125,155.6076229,147.6615368,147.5039463,-14.68575173,-14.80805266,land,5214.073159
572.633,148.8874075,147.6656645,147.5035487,-14.671384,-14.80843314,land,5173.007277
573.117,142.5022559,147.6697802,147.5032299,-14.6628656,-14.80873926,land,5135.252904
573.617,135.9006563,147.6741861,147.5029116,-14.65149734,-14.80906841,land,5095.511334
574.142,129.0858175,147.6789352,147.5024921,-14.63360573,-14.80952045,land,5053.782654
574.625,122.6094459,147.6837098,147.5021693,-14.6132891,-14.80987584,land,5014.703501
575.133,115.9239942,147.6888519,147.5017756,-14.58889731,-14.81034483,land,4974.29986
575.617,109.5787404,147.6940679,147.5014602,-14.56335761,-14.81072522,land,4936.545961
576.125,103.0478291,147.6995356,147.5010506,-14.53683184,-14.81125629,land,4896.143129
576.633,96.29655933,147.6369747,132.5007436,-14.49562947,-5,flare,4855.081423
577.133,89.85514974,147.187008,132.5005237,-14.07076971,-5,flare,4815.406268
577.617,83.93130839,146.6517898,132.5003992,-13.25465862,-5,flare,4777.824594
578.117,78.28360589,146.1029568,132.5002534,-12.1786061,-5,flare,4738.39094
578.625,73.18800377,145.5510571,132.500038,-11.04475572,-5,flare,4698.433646
579.117,68.65808685,144.9942999,132.4998452,-9.911736422,-5,flare,4659.917924
579.633,64.55809011,144.4152828,132.4995903,-8.790218441,-5,flare,4618.937548
580.117,61.29049164,143.8740992,132.4993745,-7.799190685,-5,flare,4581.993137
580.617,58.41994003,143.319049,132.4990761,-6.817659484,-5,flare,4543.242382
581.125,55.98076319,142.7620131,132.4988159,-5.905704921,-5,flare,4503.349256
581.625,54.00248177,142.2239186,132.4985538,-5.122685644,-5,flare,4464.886905
582.142,49.98058974,141.6986104,132.4982762,-4.456607871,-5,flare,4426.56428
582.633,44.80636851,141.1753657,132.4982762,-3.86738657,-5,flare,4387.743553
583.125,40.07330905,140.6685591,132.4982762,-3.390874572,-5,flare,4350.330081
583.642,35.61974347,140.1099903,132.4982762,-2.977437269,-2.5,flare,4311.160344
584.133,33.49975679,139.5670302,132.4982762,-2.58347634,-2.5,flare,4274.654891
584.617,32.20582766,139.0273693,132.4982762,-2.23089877,-2.5,flare,4238.283409
585.125,31.03587343,138.4553317,132.4982762,-1.911721941,-2.5,flare,4199.553706
585.642,30.00237875,137.8710228,132.4982762,-1.657160283,-2.5,flare,4160.980527
586.142,29.14275627,137.3044301,132.4982762,-1.484741138,-2.5,flare,4123.801271
586.617,28.36965198,136.7571748,132.4982762,-1.386869162,-2.5,flare,4088.001163
587.125,27.61954433,136.1928954,132.4982762,-1.351343135,-2.5,flare,4051.110653
587.617,26.91544622,135.6409424,132.4982762,-1.374116732,-2.5,flare,4014.976895
588.133,26.13977105,135.0650339,132.4982762,-1.448021048,-2.5,flare,3977.156066
588.642,25.37398507,134.5031995,132.4982762,-1.558634845,-2.5,flare,3940.093886
589.142,24.54583574,133.9556302,132.4982762,-1.691983546,-2.5,flare,3903.781407
589.625,23.67296743,133.4312615,132.4982762,-1.832530033,-2.5,flare,3868.209936
590.125,22.73532805,132.8940523,132.4982762,-1.980127427,-2.5,flare,3832.771544
590.625,21.73387528,132.3618359,132.4982762,-2.123110086,-2.5,flare,3796.270188
591.117,20.67115378,131.8431677,132.4982762,-2.252556039,-2.5,flare,3761.693049
591.667,19.70942267,131.3982352,132.4982762,-2.352028191,-0.7005623936,flare,3737.919462
592.125,18.34575254,130.7530526,132.4982762,-2.372612577,-0.6339934938,flare,3689.371504
592.642,17.23529541,130.1982252,132.4982762,-2.18301034,-0.5752560858,flare,3652.832786
593.142,16.26403121,129.6478125,132.4982762,-1.898482579,-0.5223425949,flare,3618.198887
593.625,15.548492,129.1293819,132.4982762,-0.9187313099,-0.4905738687,flare,3583.700859
594.117,15.41093808,128.5786268,132.4982762,-0.1681448731,-0.478262824,flare,3549.353549
594.617,15.41717293,128.0004381,132.4982762,-0.1679509485,-0.4785239117,flare,3515.157059
595.117,15.40392935,127.4259885,132.4982762,-0.2057460544,-0.4780179309,flare,3480.530084
595.633,15.36979544,126.838161,132.4982762,-0.2357484789,-0.4763616112,flare,3444.33248
596.133,15.32949428,126.2749891,132.4982762,-0.2802696065,-0.474329603,flare,3410.581569
596.625,15.27493914,125.72806,132.4982762,-0.3068472654,-0.4713780614,flare,3376.972956
597.125,15.21294948,125.170071,132.4982762,-0.316182523,-0.4697307423,retard,3342.3736
597.617,15.15785618,124.6465996,132.4982762,-0.3133785719,-0.4697307423,retard,3309.051519
598.117,15.09836866,124.1408941,132.4982762,-0.3312140944,-0.4697307423,retard,3275.86808
598.642,15.03700506,123.8327457,132.4982762,-0.3204859176,-0.4697307423,retard,3240.555442
599.117,14.97080663,123.2683934,132.4982762,-0.3852114718,-0.4697307423,retard,3208.700266
599.625,14.86861429,122.4468658,132.4982762,-0.441463341,-0.4697307423,retard,3174.802184
600.117,14.74764698,121.6405774,132.4982762,-0.4818504689,-0.4697307423,retard,3141.683933
600.625,14.6000579,120.8084798,132.4982762,-0.5199074853,-0.4697307423,retard,3108.2413
601.125,14.441529,120.031252,132.4982762,-0.5607625841,-0.4697307423,retard,3075.567849
601.617,14.24884805,119.2851734,132.4982762,-0.6794186051,-0.4697307423,retard,3044.18677
602.133,13.93822878,118.571654,132.4982762,-0.9848343432,-0.4697307423,retard,3010.312769
602.633,13.42682645,117.9586357,132.4982762,-1.494434749,-0.4697307423,retard,2978.238004
603.125,12.89674971,117.4593558,132.4982762,-0.4029315732,-0.4697307423,disengaged,2946.86144
603.625,12.83873462,116.9753204,132.4982762,-0.2984062209,-0.4697307423,disengaged,2915.105709
604.133,12.78632022,116.4538478,132.4982762,-0.3604206714,-0.4697307423,disengaged,2882.962058
604.617,12.73168679,115.9600698,132.4982762,-0.2774522718,-0.4697307423,disengaged,2852.535701
605.117,12.70200167,115.3515542,132.4982762,-0.249305319,-0.4697307423,disengaged,2822.2348
605.633,12.67194263,114.4732541,132.4982762,-0.2656540925,-0.4697307423,disengaged,2789.00917
606.117,12.63435198,113.6113007,132.4982762,-0.2641731976,-0.4697307423,disengaged,2759.12182
606.642,12.59391005,112.6371334,132.4982762,-0.2673488934,-0.4697307423,disengaged,2726.912425
607.133,12.54779925,111.632357,132.4982762,-0.2573893391,-0.4697307423,disengaged,2697.509808
607.633,12.51387353,110.5341385,132.4982762,-0.2315503868,-0.4697307423,disengaged,2666.867175
608.142,12.48220487,109.2967945,132.4982762,-0.2065393185,-0.4697307423,disengaged,2636.536875
608.642,12.45967823,107.884006,132.4982762,-0.2053046259,-0.4697307423,disengaged,2607.049122
609.125,12.43004521,106.1538653,132.4982762,-0.19628918,-0.4697307423,disengaged,2579.412978
609.642,12.40238902,103.9551748,132.4982762,-0.1957418289,-0.4697307423,disengaged,2549.404632
610.117,12.3659226,101.4603276,132.4982762,-0.1890244257,-0.4697307423,disengaged,2523.316239
610.642,12.33015677,98.70656087,132.4982762,-0.1871093197,-0.4697307423,disengaged,2494.244203
611.117,12.29268577,96.19747159,132.4982762,-0.1727276109,-0.4697307423,disengaged,2469.012764
611.617,12.2589885,93.66991179,132.4982762,-0.1731433589,-0.4697307423,disengaged,2443.120167
612.142,12.22193675,90.99817583,132.4982762,-0.1494372765,-0.4697307423,disengaged,2416.661722
612.642,12.18901861,88.47388818,132.4982762,-0.151381112,-0.4697307423,disengaged,2392.55363
613.117,12.16283791,86.25278736,132.4982762,-0.1417521491,-0.4697307423,disengaged,2371.051913
613.625,12.13234054,84.36249103,132.4982762,-0.1086727928,-0.4697307423,disengaged,2345.780313
614.133,12.11566496,83.20764138,132.4982762,-0.09753389436,-0.4697307423,disengaged,2322.490613
614.617,12.10238338,82.46865577,132.4982762,-0.07382810415,-0.4697307423,disengaged,2300.582962
615.142,12.0952707,81.95472755,132.4982762,-0.05758993506,-0.4697307423,disengaged,2276.966181
615.633,12.08600492,79.20218763,132.4982762,-0.1009538553,-0.4697307423,disengaged,2255.157736
616.125,12.05560202,75.29566225,132.4982762,-0.09562324317,-0.4697307423,disengaged,2234.61354
616.617,12.02609362,71.25981414,132.4982762,-0.0989671667,-0.4697307423,disengaged,2214.413395
617.133,11.99418372,67.13850556,132.4982762,-0.1024323721,-0.4697307423,disengaged,2194.663932
617.617,11.95630904,63.18962666,132.4982762,-0.0917626717,-0.4697307423,disengaged,2177.234974
618.133,11.93323923,61.16647356,132.4982762,-0.06386848607,-0.4697307423,disengaged,2159.503296
618.625,11.9117513,58.31356328,132.4982762,-0.1326414572,-0.4697307423,disengaged,2143.396794
619.133,11.86992513,54.39115781,132.4982762,-0.1217606512,-0.4697307423,disengaged,2127.609045
619.617,11.85492506,53.29660039,132.4982762,-0.1060753811,-0.4697307423,disengaged,2113.654199
620.133,11.85049227,52.50546168,132.4982762,-0.07511038068,-0.4697307423,disengaged,2098.605817
620.617,11.84757614,51.31974181,132.4982762,-0.06453283418,-0.4697307423,disengaged,2084.650521
621.117,11.84020035,50.62549552,132.4982762,-0.03995167757,-0.4697307423,disengaged,2070.56657
621.642,11.83422377,50.13267512,132.4982762,-0.02972747979,-0.4697307423,disengaged,2055.804763
622.125,11.82509835,49.26474729,132.4982762,-0.001188506841,-0.4697307423,disengaged,2042.364355
622.617,11.81995006,49.01465315,132.4982762,0.03354097698,-0.4697307423,disengaged,2028.881157
623.142,11.82005397,48.88470923,132.4982762,0.04565814435,-0.4697307423,disengaged,2014.595072
623.625,11.82082273,48.76381262,132.4982762,0.04697081655,-0.4697307423,disengaged,2001.730942
624.125,11.82410323,48.63897755,132.4982762,0.04503509758,-0.4697307423,disengaged,1988.007628
624.625,11.8209038,48.51546129,132.4982762,0.05293878408,-0.4697307423,disengaged,1974.54415
625.125,11.8195369,48.39192969,132.4982762,0.0505978635,-0.4697307423,disengaged,1961.113167
625.633,11.81986425,48.25175018,132.4982762,0.04703991942,-0.4697307423,disengaged,1947.267716
626.133,11.81761407,47.71944691,132.4982762,0.02447116789,-0.4697307423,disengaged,1934.135101
626.625,11.81341188,47.50643271,132.4982762,0.02346308987,-0.4697307423,disengaged,1921.037169
627.133,11.81090093,47.38024766,132.4982762,0.02678932671,-0.4697307423,disengaged,1907.51973
627.65,11.80988108,47.2647136,132.4982762,0.02555872764,-0.4697307423,disengaged,1894.252867
628.125,11.81193599,47.15274409,132.4982762,0.02453464568,-0.4697307423,disengaged,1881.456469
628.642,11.80965216,47.03535197,132.4982762,0.02749250617,-0.4697307423,disengaged,1868.02833
629.158,11.80847737,46.91679353,132.4982762,0.03143724001,-0.4697307423,disengaged,1854.850574
629.617,11.80688898,46.80785046,132.4982762,0.03103442805,-0.4697307423,disengaged,1842.578633
630.117,11.80726133,46.6900998,132.4982762,0.02844665974,-0.4697307423,disengaged,1829.240888
630.625,11.8082987,46.57255717,132.4982762,0.03100574355,-0.4697307423,disengaged,1816.152219
